Resumen Busqueda:-
Tiempos de Busquedas:-
Ciclo Busqueda; Tiempo; Resultado-
0;28;no-
1;27;no-
2;29;no-
3;27;no-
4;27;no-
5;21;si-
6;28;no-
7;26;no-
8;27;no-
9;28;no-
10;27;no-
11;26;no-
12;28;si-
13;27;no-
14;27;si-
15;28;si-
16;26;no-
17;27;no-
18;27;no-
19;28;si-
20;27;no-
21;27;no-
22;28;no-
23;28;si-
24;28;si-
25;27;no-
26;28;si-
27;26;no-
28;26;no-
29;26;si-
30;26;si-
31;26;si-
32;26;no-
33;26;no-
34;27;no-
35;26;no-
36;27;si-
37;27;no-
38;26;no-
39;27;no-
40;29;no-
41;28;no-
42;28;no-
43;26;si-
44;28;si-
45;26;no-
46;28;no-
47;28;no-
48;26;si-
49;29;no-
50;27;si-
51;26;no-
52;27;no-
53;26;no-
54;29;no-
55;27;si-
56;27;no-
57;28;no-
58;26;si-
59;27;si-
60;27;no-
61;28;no-
62;27;no-
63;26;no-
64;28;no-
65;26;no-
66;26;no-
67;27;si-
68;27;no-
69;26;no-
70;27;no-
71;27;no-
72;26;no-
73;26;no-
74;27;no-
75;28;no-
76;28;no-
77;27;no-
78;27;no-
79;28;no-
80;27;no-
81;26;no-
82;27;no-
83;27;si-
84;26;si-
85;28;no-
86;27;si-
87;28;si-
88;29;no-
89;27;no-
90;27;no-
91;27;si-
92;26;no-
93;28;no-
94;27;no-
95;29;si-
96;27;no-
97;28;si-
98;28;no-
99;27;si-
100;26;no-
101;27;si-
102;27;no-
103;26;no-
104;26;si-
105;26;no-
106;26;no-
107;28;no-
108;26;si-
109;28;no-
110;26;no-
111;26;no-
112;27;no-
113;28;no-
114;27;si-
115;28;no-
116;28;no-
117;28;no-
118;28;no-
119;26;no-
120;26;no-
121;26;no-
122;28;no-
123;28;no-
124;27;no-
125;27;no-
126;28;no-
127;27;si-
128;29;no-
129;27;no-
130;26;si-
131;28;no-
132;27;no-
133;28;si-
134;28;no-
135;29;si-
136;26;no-
137;27;si-
138;26;no-
139;11;si-
140;28;si-
141;26;no-
142;28;no-
143;27;no-
144;28;no-
145;27;no-
146;26;si-
147;26;no-
148;27;si-
149;27;no-
150;27;no-
151;29;no-
152;27;no-
153;27;si-
154;28;no-
155;27;no-
156;26;no-
157;28;no-
158;26;no-
159;27;no-
160;27;no-
161;26;no-
162;28;si-
163;26;no-
164;27;no-
165;27;no-
166;26;no-
167;27;no-
168;26;no-
169;28;no-
