Resumen Busqueda Ordenada:-
Tiempos de Busquedas Ordenadas:-
Ciclo Busqueda Ordenada; Tiempo; Resultado-
0;0;si-
1;0;si-
2;23;no-
3;12;no-
4;0;si-
5;10;no-
6;0;si-
7;10;no-
8;9;no-
9;0;si-
10;8;no-
11;8;no-
12;9;no-
13;10;no-
14;9;no-
15;11;no-
16;0;si-
17;9;no-
18;0;si-
19;8;no-
20;0;si-
21;8;no-
22;0;si-
23;0;si-
24;8;no-
25;11;no-
26;9;no-
27;0;si-
28;8;no-
29;8;no-
30;8;no-
31;8;no-
32;9;no-
33;8;no-
34;0;si-
35;8;no-
36;8;no-
37;8;no-
38;8;no-
39;0;si-
40;0;si-
41;8;no-
42;8;no-
43;10;no-
44;10;no-
45;9;no-
46;0;si-
47;0;si-
48;8;no-
49;8;no-
50;0;si-
51;0;si-
52;0;si-
53;0;si-
54;0;si-
55;8;no-
56;8;no-
57;0;si-
58;0;si-
59;0;si-
60;9;no-
61;9;no-
62;0;si-
63;10;no-
64;0;si-
65;0;si-
66;0;si-
67;9;no-
68;0;si-
69;9;no-
70;0;si-
71;8;no-
72;0;si-
73;8;no-
74;0;si-
75;11;no-
76;0;si-
77;9;no-
78;8;no-
79;8;no-
80;8;no-
81;0;si-
82;0;si-
83;8;no-
84;0;si-
85;8;no-
86;8;no-
87;8;no-
88;9;no-
89;8;no-
90;8;no-
91;8;no-
92;0;si-
93;10;no-
94;10;no-
95;9;no-
96;8;no-
97;0;si-
98;0;si-
99;8;no-
100;8;no-
101;0;si-
102;11;no-
103;8;no-
104;9;no-
105;8;no-
106;8;no-
107;8;no-
108;8;no-
109;0;si-
110;11;no-
111;0;si-
112;8;no-
113;0;si-
114;8;no-
115;8;no-
116;12;no-
117;0;si-
118;9;no-
119;8;no-
120;0;si-
121;10;no-
122;8;no-
123;0;si-
124;9;no-
125;0;si-
126;8;no-
127;0;si-
128;8;no-
129;8;no-
130;8;no-
131;0;si-
132;12;no-
133;8;no-
134;8;no-
135;8;no-
136;0;si-
137;0;si-
138;8;no-
139;8;no-
140;7;no-
141;0;si-
142;0;si-
143;0;si-
144;7;no-
145;0;si-
146;8;no-
147;0;si-
148;8;no-
149;8;no-
150;8;no-
151;9;no-
152;11;no-
153;8;no-
154;12;no-
155;8;no-
156;8;no-
157;8;no-
158;8;no-
159;8;no-
160;9;no-
161;10;no-
162;8;no-
163;8;no-
164;8;no-
165;1;si-
166;8;no-
167;7;no-
168;0;si-
169;9;no-
170;8;no-
171;0;si-
172;8;no-
173;0;si-
174;8;no-
175;8;no-
176;11;no-
177;0;si-
178;0;si-
179;8;no-
180;9;no-
181;8;no-
182;8;no-
183;0;si-
184;8;no-
185;8;no-
186;8;no-
187;11;no-
188;8;no-
189;8;no-
190;8;no-
191;0;si-
192;8;no-
193;8;no-
194;8;no-
195;9;no-
196;10;no-
197;0;si-
198;0;si-
199;0;si-
200;8;no-
201;0;si-
202;8;no-
203;8;no-
204;8;no-
205;0;si-
206;0;si-
207;8;no-
208;9;no-
209;8;no-
210;0;si-
211;10;no-
212;9;no-
213;8;no-
214;0;si-
215;8;no-
216;8;no-
217;8;no-
218;0;si-
219;11;no-
220;9;no-
221;8;no-
222;8;no-
223;8;no-
224;8;no-
225;8;no-
226;11;no-
227;9;no-
228;0;si-
229;8;no-
230;8;no-
231;8;no-
232;8;no-
233;11;no-
234;10;no-
235;9;no-
236;10;no-
237;10;no-
238;11;no-
239;0;si-
240;9;no-
241;8;no-
242;8;no-
243;8;no-
244;8;no-
245;8;no-
246;8;no-
247;8;no-
248;8;no-
249;8;no-
250;8;no-
251;8;no-
252;0;si-
253;8;no-
254;9;no-
255;8;no-
256;8;no-
257;0;si-
258;8;no-
259;8;no-
260;0;si-
261;8;no-
262;0;si-
263;8;no-
264;8;no-
265;0;si-
266;8;no-
267;8;no-
268;8;no-
269;9;no-
270;11;no-
271;0;si-
272;9;no-
273;7;no-
274;0;si-
275;0;si-
276;8;no-
277;8;no-
278;0;si-
279;8;no-
280;8;no-
281;8;no-
282;0;si-
283;8;no-
284;0;si-
285;8;no-
286;0;si-
287;0;si-
288;8;no-
289;8;no-
290;8;no-
291;7;no-
292;0;si-
293;8;no-
294;0;si-
295;0;si-
296;0;si-
297;8;no-
298;8;no-
299;8;no-
300;8;no-
301;8;no-
302;0;si-
303;8;no-
304;8;no-
305;0;si-
306;0;si-
307;0;si-
308;11;no-
309;9;no-
310;9;no-
311;0;si-
312;10;no-
313;10;no-
314;9;no-
315;0;si-
316;0;si-
317;0;si-
318;0;si-
319;9;no-
320;9;no-
321;9;no-
322;9;no-
323;10;no-
324;9;no-
325;0;si-
326;10;no-
327;0;si-
328;9;no-
329;9;no-
330;9;no-
331;10;no-
332;8;no-
333;10;no-
334;9;no-
335;8;no-
336;10;no-
337;0;si-
338;0;si-
339;9;no-
340;9;no-
341;0;si-
342;10;no-
343;0;si-
344;0;si-
345;9;no-
346;0;si-
347;10;no-
348;11;no-
349;9;no-
350;8;no-
351;8;no-
352;7;no-
353;8;no-
354;12;no-
355;8;no-
356;8;no-
357;0;si-
358;8;no-
359;8;no-
360;8;no-
361;8;no-
362;0;si-
363;8;no-
364;11;no-
365;10;no-
366;8;no-
367;8;no-
368;0;si-
369;8;no-
370;0;si-
371;0;si-
372;8;no-
373;8;no-
374;0;si-
375;0;si-
376;8;no-
377;0;si-
378;8;no-
379;8;no-
380;0;si-
381;9;no-
382;9;no-
383;8;no-
384;9;no-
385;8;no-
386;9;no-
387;8;no-
388;8;no-
389;11;no-
390;8;no-
391;9;no-
392;8;no-
393;0;si-
394;10;no-
395;11;no-
396;10;no-
397;0;si-
398;10;no-
399;9;no-
400;8;no-
401;10;no-
402;9;no-
403;11;no-
404;10;no-
405;9;no-
406;9;no-
407;0;si-
408;0;si-
409;9;no-
410;9;no-
411;11;no-
412;0;si-
413;9;no-
414;8;no-
415;0;si-
416;8;no-
417;0;si-
418;7;no-
419;8;no-
420;8;no-
421;8;no-
422;0;si-
423;8;no-
424;8;no-
425;8;no-
426;7;no-
427;8;no-
428;0;si-
429;8;no-
430;0;si-
431;8;no-
432;8;no-
433;10;no-
434;0;si-
435;8;no-
436;8;no-
437;0;si-
438;8;no-
439;0;si-
440;7;no-
441;8;no-
442;0;si-
443;0;si-
444;8;no-
445;8;no-
446;8;no-
447;9;no-
448;10;no-
449;8;no-
450;0;si-
451;8;no-
452;0;si-
453;8;no-
454;7;no-
455;0;si-
456;8;no-
457;8;no-
458;8;no-
459;0;si-
460;8;no-
461;8;no-
462;7;no-
463;8;no-
464;8;no-
465;8;no-
466;0;si-
467;8;no-
468;8;no-
469;0;si-
470;8;no-
471;8;no-
472;7;no-
473;8;no-
474;8;no-
475;8;no-
476;8;no-
477;0;si-
478;0;si-
479;0;si-
480;8;no-
481;7;no-
482;0;si-
483;0;si-
484;8;no-
485;8;no-
486;8;no-
487;8;no-
488;0;si-
489;0;si-
490;0;si-
491;8;no-
492;0;si-
493;7;no-
494;8;no-
495;0;si-
496;11;no-
497;8;no-
498;8;no-
499;0;si-
500;8;no-
501;7;no-
502;8;no-
503;7;no-
504;8;no-
505;8;no-
506;0;si-
507;0;si-
508;10;no-
509;9;no-
510;7;no-
511;0;si-
512;8;no-
513;8;no-
514;8;no-
515;7;no-
516;1;si-
517;0;si-
518;7;no-
519;8;no-
520;0;si-
521;10;no-
522;9;no-
523;0;si-
524;8;no-
525;0;si-
526;8;no-
527;7;no-
528;8;no-
529;8;no-
530;8;no-
531;0;si-
532;0;si-
533;0;si-
534;8;no-
535;0;si-
536;7;no-
537;8;no-
538;8;no-
539;7;no-
540;8;no-
541;8;no-
542;8;no-
543;8;no-
544;8;no-
545;11;no-
546;9;no-
547;7;no-
548;0;si-
549;0;si-
550;0;si-
551;8;no-
552;8;no-
553;0;si-
554;8;no-
555;8;no-
556;0;si-
557;8;no-
558;0;si-
559;8;no-
560;8;no-
561;0;si-
562;7;no-
563;0;si-
564;0;si-
565;0;si-
566;0;si-
567;12;no-
568;9;no-
569;8;no-
570;11;no-
571;0;si-
572;8;no-
573;8;no-
574;8;no-
575;0;si-
576;0;si-
577;8;no-
578;0;si-
579;0;si-
580;0;si-
581;0;si-
582;0;si-
583;0;si-
584;0;si-
585;8;no-
586;7;no-
587;0;si-
588;8;no-
589;0;si-
590;8;no-
591;8;no-
592;8;no-
593;0;si-
594;0;si-
595;7;no-
596;0;si-
597;0;si-
598;8;no-
599;8;no-
600;8;no-
601;8;no-
602;10;no-
603;8;no-
604;0;si-
605;10;no-
606;9;no-
607;0;si-
608;9;no-
609;8;no-
610;0;si-
611;0;si-
612;9;no-
613;10;no-
614;9;no-
615;8;no-
616;8;no-
617;8;no-
618;7;no-
619;8;no-
620;9;no-
621;9;no-
